source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,extra_type,deviceuuid,pkg_name,controller_id,datauuid
-100003,2022-09-16 04:00:03.856,2022-09-16 04:00:03.856,,1663200000000,0,41.0,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,264a54c4-c2a0-4ebc-8ec0-6a5e54dc7d0d,
-1,2023-04-21 22:49:52.998,2022-09-21 01:52:43.868,,1663710196291,1,555476.0,15005,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_others,c7b2a072-b881-418a-9560-a656250d65e6,
-1,2022-09-21 15:02:14.793,2022-09-21 15:02:14.793,,1663632000000,6,4.0,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.floor,ed5f016e-bb6c-47c1-94f6-4b7e7a47df11,
-100003,2022-09-25 04:04:39.389,2022-09-25 04:04:39.389,,1663977600000,0,12046.0,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,ec729357-d859-46be-a3b7-186f83346279,
-1,2023-01-04 17:10:45.776,2023-01-04 17:10:45.776,,1671840000000,6,9.0,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.floor,9178ec7d-5db1-4419-8efb-95380d1599d1,
-1,2023-04-21 22:49:52.994,2023-02-20 22:27:03.114,,1676906301621,3,3478.4148,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_walking,fd424f54-af57-464b-8072-6710d32b137d,
-1,2023-04-21 22:49:52.987,2023-03-21 22:35:12.509,,1679419655436,2,634.03986,15002,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_others,b5742b5a-af74-4bb5-9eaf-e84af2e59e65,
-1,2023-04-21 22:49:52.967,2023-04-09 19:23:21.070,,1681047777987,2,822.095,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_walking,5a7a4e62-5059-431d-8058-f8d5ccfd004e,
-100003,2022-09-17 04:00:00.729,2022-09-17 04:00:00.729,,1663286400000,0,1413.0,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,dad78821-5072-4997-ad57-b67e9da85099,
-1,2023-04-21 22:49:52.998,2022-09-21 01:52:43.893,,1663710196291,2,78.384,15005,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_others,89539385-f1bb-442b-bfed-1ad5cc841a34,
-100003,2022-09-22 14:17:41.443,2022-09-22 14:17:41.443,,1663718400000,0,8957.0,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,fea83ab9-ccea-4d08-b755-0b6c365ef488,
-1,2022-09-27 03:30:00.855,2022-09-27 03:30:00.855,,1663977600000,6,8.0,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.floor,bada8c78-6666-4624-85e4-ae4671133583,
-100003,2023-01-22 15:35:30.540,2023-01-22 15:35:30.540,,1674259200000,0,15487.0,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,21d9e7d0-d659-4f05-8d99-0e2c0b292c74,
-1,2023-04-21 22:49:52.994,2023-02-20 22:27:03.192,,1676906301621,5,77.54,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_walking,7513cc63-3079-4c69-8646-35b88ae0e118,
-1,2023-04-21 22:49:52.985,2023-04-01 16:24:22.593,,1680350715315,5,234.767,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_walking,c435015b-c883-4144-b7ca-b56a12d70025,
