uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,2022-09-24 20:14:51.112,41.0478,,280.W,Sunny,,1,TWC,2022-09-24 21:08:45.204,2022-09-24 21:08:45.204,1,-73.77016,19.0,41,UTC-0400,oL6fnwM6i7,f7abc672-3e1f-4966-8c76-1b7da8edb214,com.sec.android.app.shealth,km/h,,14.0,1,f6f9c77e-bbbc-4979-a253-123937b02296,
,2022-09-21 02:14:06.886,40.86254,,290.WNW,Clear,,1,TWC,2022-09-21 02:26:09.829,2022-09-21 02:26:09.829,1,-73.89789,21.0,61,UTC-0400,oL6fnwM6i7,bd8457d8-0aec-4ccd-9fd6-aceff91b6c7e,com.sec.android.app.shealth,km/h,,13.0,18,aec94b51-8006-47e3-874f-3643b25f8cdb,
,2023-03-13 19:36:27.883,41.064518,,70.ENE,Cloudy,,1,TWC,2023-03-13 19:57:09.602,2023-03-13 19:57:09.602,1,-73.77926,4.0,90,UTC-0400,oL6fnwM6i7,66839f21-c628-47ba-a1c6-36cb47484c08,com.sec.android.app.shealth,km/h,,23.0,3,4cfcec4a-5601-443a-9199-1091bd98cdff,
,2023-03-27 21:29:34.513,41.06321,,90.E,Rain Shower,,1,TWC,2023-03-27 21:45:18.640,2023-03-27 21:45:18.640,1,-73.77925,11.0,44,UTC-0400,oL6fnwM6i7,5e938c88-eaca-4cfc-a938-49b8df0769ad,com.sec.android.app.shealth,km/h,,13.0,5,957f05ce-f368-454c-b88f-04324dc85f1d,
,2022-10-13 17:29:10.322,40.861732,,160.SSE,Light Rain,,1,TWC,2022-10-13 18:21:23.491,2022-10-13 18:21:23.491,1,-73.8925,21.0,72,UTC-0400,oL6fnwM6i7,03054ef4-6dca-4387-9c8b-da1b4f9028a7,com.sec.android.app.shealth,km/h,,21.0,5,1a7f6343-94df-4334-b2f4-8bad829fcd21,
,2023-04-01 16:05:37.487,41.064816,,220.SW,Rain Shower,,1,TWC,2023-04-01 16:24:15.327,2023-04-01 16:24:15.327,1,-73.77925,14.0,100,UTC-0400,oL6fnwM6i7,88211934-21dd-431c-b973-7b461e3dcec4,com.sec.android.app.shealth,km/h,,10.0,5,84baa345-3d93-40eb-8f1b-f857afd0ac7b,
,2023-04-02 19:02:11.835,41.033295,,330.NNW,Sunny,,1,TWC,2023-04-02 19:02:45.318,2023-04-02 19:02:45.318,1,-73.76493,10.0,20,UTC-0400,oL6fnwM6i7,0beacf00-def6-43cf-802e-feb8dec3d65b,com.sec.android.app.shealth,km/h,,23.0,1,45f6c647-e056-48d2-86c3-ca15f5a395da,
,2023-03-28 19:09:33.054,41.06466,,340.NNW,Cloudy,,1,TWC,2023-03-28 19:56:54.365,2023-03-28 19:56:54.365,1,-73.77919,9.0,46,UTC-0400,oL6fnwM6i7,c2beb569-fad9-4c72-89aa-faf7cd5c5c6c,com.sec.android.app.shealth,km/h,,19.0,3,be984883-692a-44e9-83d4-61fafe7376ed,
,2023-04-08 16:13:38.721,41.07134,,310.NW,Sunny,,1,TWC,2023-04-08 16:52:32.937,2023-04-08 16:52:32.937,1,-73.76922,8.0,31,UTC-0400,oL6fnwM6i7,0f7a02bb-b776-4df1-87ed-d9725a9c33f1,com.sec.android.app.shealth,km/h,,14.0,1,8d1e74ce-1c95-4e26-a35e-ad66eb5146d4,
,2023-04-09 17:44:29.590,41.070892,,130.SE,Sunny,,1,TWC,2023-04-09 19:23:10.677,2023-04-09 19:23:10.677,1,-73.7687,11.0,26,UTC-0400,oL6fnwM6i7,041d688d-ab0a-4f90-a7a8-f0f945a4c22b,com.sec.android.app.shealth,km/h,,18.0,1,78657776-87c0-4619-8093-d850e9165d98,
