text_value,service_id,float_value,update_time,create_time,long_value,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,2022-09-16 02:24:11.461,2022-09-16 02:24:01.165,,,,1.0,+OWbbAvnWG,com.sec.android.app.shealth,,settings.marketing_agreement,
,,2023-04-23 04:53:58.428,2022-09-18 05:53:10.012,,,,1.0,+OWbbAvnWG,com.sec.android.app.shealth,,together.setting_gc_invitation,
tracker.exercise,,2023-05-18 17:19:51.713,2022-09-24 21:08:43.789,,,,,oL6fnwM6i7,com.sec.android.app.shealth,,34-exercise.vo2max,
,,2023-05-21 04:00:02.581,2023-05-05 04:00:06.271,,,,,oL6fnwM6i7,com.sec.android.app.shealth,,72-wearable.samsung_account_id,
,,2022-09-18 05:53:03.866,2022-09-16 02:24:07.957,,,,1.0,+OWbbAvnWG,com.sec.android.app.shealth,,oobe.sensitive_data_agreement,
,,2023-04-23 04:53:58.428,2022-09-18 05:53:10.032,,,,0.0,+OWbbAvnWG,com.sec.android.app.shealth,,together.setting_exposure_level,
tile.healthSummary,,2022-09-29 05:49:35.748,2022-09-29 05:49:35.748,,,,,oL6fnwM6i7,com.sec.android.app.shealth,,77-selected.items,
,,2023-05-21 17:35:55.721,2022-09-16 02:24:11.467,,,,1.0,+OWbbAvnWG,com.sec.android.app.shealth,,settings.personalization_agreement,
,,2023-04-23 04:53:58.428,2022-09-18 05:53:10.040,,,,0.0,+OWbbAvnWG,com.sec.android.app.shealth,,together.setting_ld_auto_addition,
tracker.heartrate,,2022-09-30 12:34:27.360,2022-09-30 12:32:01.563,,,,1.0,oL6fnwM6i7,com.sec.android.app.shealth,,05-measure.period,
tracker.exercise,,2022-09-20 20:10:43.646,2022-09-16 02:24:11.933,,,34-favorite_list.blob_value.json,,oL6fnwM6i7,com.sec.android.app.shealth,,34-favorite_list,
tracker.exercise,,2022-12-18 17:45:49.475,2022-09-20 20:17:23.413,,,,1.0,oL6fnwM6i7,com.sec.android.app.shealth,,34-gym.permission.hr.enable,
,,2023-05-21 17:35:55.726,2022-10-03 02:32:03.351,,,,1.0,+OWbbAvnWG,com.sec.android.app.shealth,,step.detectworkout_switch,
,,2022-09-16 02:24:13.397,2022-09-16 02:24:13.429,,,,1.0,+OWbbAvnWG,com.sec.android.app.shealth,,settings.location_agreement,
tracker.heartrate,,2022-09-22 02:18:44.232,2022-09-22 02:18:42.959,,,,1.0,oL6fnwM6i7,com.sec.android.app.shealth,,05-tip.enable,
,,2023-05-21 04:00:02.548,2023-05-05 04:00:06.238,,,,0.0,oL6fnwM6i7,com.sec.android.app.shealth,,72-wearable.is_child_account,
tracker.exercise,,2022-09-16 02:24:11.935,2022-09-16 02:24:11.935,,,34-workout_list.blob_value.json,,+OWbbAvnWG,com.sec.android.app.shealth,,34-workout_list,
tracker.exercise,,2022-12-18 17:45:49.529,2022-09-20 20:17:23.468,,,,1.0,oL6fnwM6i7,com.sec.android.app.shealth,,34-gym.permission.profile.enable,
,,2023-05-04 04:24:21.089,2023-05-04 04:24:21.139,,,,1.0,+OWbbAvnWG,com.sec.android.app.shealth,,settings.map_location_agreement,
