original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,has_sleep_data,combined_id,data_version,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,quality,extra_data,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,,,,,,,,,,0,,,,,,,0.0,,,0.0,,,2022-09-20 06:00:00.000,,2022-09-20 15:07:19.855,2022-09-20 15:07:19.855,UTC-0400,+OWbbAvnWG,,com.sec.android.app.shealth,2022-09-20 12:10:00.000,a3629657-bec7-4d11-80c0-a425077f4121,
,,,,,,,,,,,0,,,,,,,0.0,,,0.0,,,2022-09-19 06:10:00.000,,2022-09-19 12:43:22.664,2022-09-19 12:43:22.664,UTC-0400,+OWbbAvnWG,,com.sec.android.app.shealth,2022-09-19 12:40:00.000,5a284438-baa2-4ff8-ad05-2f3bfcd9cc0f,
,,,,,,,,,,,0,,,,,,,0.0,,,0.0,,,2022-10-01 04:30:00.000,,2022-10-02 03:14:10.351,2022-10-02 03:14:10.351,UTC-0400,+OWbbAvnWG,,com.sec.android.app.shealth,2022-10-01 13:20:00.000,0aab56f1-1fd2-4d1e-aeda-97bc071cf0fe,
,,,,,,,,,,,0,,,,,,,0.0,,,0.0,,,2023-04-15 05:40:00.000,,2023-04-15 13:51:49.290,2023-04-15 13:51:49.290,UTC-0400,+OWbbAvnWG,,com.sec.android.app.shealth,2023-04-15 13:50:00.000,f35bc949-2a85-4f8d-a01f-2abe407b738b,
,,,,,,,,,,,0,,,,,,,0.0,,,0.0,,,2022-09-22 05:40:00.000,,2022-09-22 14:18:15.855,2022-09-22 14:18:15.855,UTC-0400,+OWbbAvnWG,,com.sec.android.app.shealth,2022-09-22 13:30:00.000,616c2818-5660-4d57-b939-ebf5bc211aec,
,,,,,,,,,,,0,,,,,,,0.0,,,0.0,,,2022-10-02 06:50:00.000,,2022-10-03 02:32:41.497,2022-10-03 02:32:41.497,UTC-0400,+OWbbAvnWG,,com.sec.android.app.shealth,2022-10-02 13:20:00.000,19779b46-6a4b-421d-8c9c-21339e93fe97,
,,,,,,,,,,,0,,,,,,,0.0,,,0.0,,,2023-05-04 08:20:00.000,,2023-05-04 19:58:43.541,2023-05-04 19:58:43.541,UTC-0400,+OWbbAvnWG,,com.sec.android.app.shealth,2023-05-04 12:00:00.000,7d568ab2-f0ac-4b19-a1ce-3f8cf58eedf5,
,,,,,,,,,,,0,,,,,,,0.0,,,0.0,,,2022-09-27 05:10:00.000,,2022-09-27 13:45:57.843,2022-09-27 13:45:57.843,UTC-0400,+OWbbAvnWG,,com.sec.android.app.shealth,2022-09-27 12:20:00.000,3e3da9dd-0e4a-4e0e-9e1e-caf788098551,
,,,,,,,,,,,0,,,,,,,0.0,,,0.0,,,2022-09-18 06:30:00.000,,2022-09-18 14:06:51.108,2022-09-18 14:06:51.108,UTC-0400,+OWbbAvnWG,,com.sec.android.app.shealth,2022-09-18 13:40:00.000,3b2123c9-5eb6-4ac0-bed4-f453ea82a018,
,,,,,,,,,,,0,,,,,,,0.0,,,0.0,,,2022-09-17 06:20:00.000,,2022-09-17 21:39:00.534,2022-09-17 21:39:00.534,UTC-0400,+OWbbAvnWG,,com.sec.android.app.shealth,2022-09-17 13:20:00.000,6fc35e7b-e6b5-440c-990e-223aaba1f142,
,,,,,,,,,,,0,,,,,,,0.0,,,0.0,,,2022-09-28 04:40:00.000,,2022-09-28 13:46:39.991,2022-09-28 13:46:39.991,UTC-0400,+OWbbAvnWG,,com.sec.android.app.shealth,2022-09-28 12:40:00.000,840f2bcc-0de0-4bf1-8198-96c55d0c4959,
,,,,,,,,,,,0,,,,,,,0.0,,,0.0,,,2023-03-30 07:30:00.000,,2023-03-30 21:38:17.376,2023-03-30 21:38:17.376,UTC-0400,+OWbbAvnWG,,com.sec.android.app.shealth,2023-03-30 12:30:00.000,b1769526-81fd-41a4-bf66-24cf8565f745,
,,,,,,,,,,,0,,,,,,,0.0,,,0.0,,,2023-05-09 05:00:00.000,,2023-05-09 13:43:35.814,2023-05-09 13:43:35.814,UTC-0400,+OWbbAvnWG,,com.sec.android.app.shealth,2023-05-09 12:10:00.000,8f50d648-0561-4b0d-b23c-b90ace3e9101,
69.0,0.0,32.0,0.0,1.0,43.0,128.0,0.0,0.0,40.0,0.0,0,,3.0,38.0,,65.0,,,1e7450d3-535e-4dc1-8f7b-11ad4875a462.extra_data.json,0.0,66.0,50.0,128.0,2022-09-29 00:21:00.000,,2022-09-29 02:35:01.114,2022-09-29 02:34:56.315,UTC-0400,oL6fnwM6i7,,com.sec.android.app.shealth,2022-09-29 02:29:00.000,1e7450d3-535e-4dc1-8f7b-11ad4875a462,
,,,,,,,,,,,0,,,,,,,0.0,,,0.0,,,2023-04-06 05:10:00.000,,2023-04-06 14:18:58.169,2023-04-06 14:18:58.169,UTC-0400,+OWbbAvnWG,,com.sec.android.app.shealth,2023-04-06 11:20:00.000,e31b4559-ada2-4985-b777-546ffcf4cc81,
52.0,16.0,27.0,1.0,13.0,28.0,235.0,59.0,2.0,24.0,0.0,0,,3.0,46.0,,24.0,,,b12478ae-8671-4f3f-88ba-31ef3f744952.extra_data.json,3.0,88.0,59.0,235.0,2022-09-29 06:27:00.000,,2022-09-29 10:33:38.469,2022-09-29 10:33:35.308,UTC-0400,oL6fnwM6i7,,com.sec.android.app.shealth,2022-09-29 10:22:00.000,b12478ae-8671-4f3f-88ba-31ef3f744952,
,,,,,,,,,,,0,,,,,,,0.0,,,0.0,,,2023-04-08 05:50:00.000,,2023-04-08 14:45:48.065,2023-04-08 14:45:48.065,UTC-0400,+OWbbAvnWG,,com.sec.android.app.shealth,2023-04-08 13:20:00.000,209f7865-69e7-4cec-aeae-65ffe3db42e1,
75.0,5.0,5.0,10.0,0.0,11.0,161.0,151.0,0.0,7.0,0.0,0,,3.0,21.0,,18.0,,,c6818396-1791-433b-8e82-bea68d55938a.extra_data.json,1.0,93.0,61.0,161.0,2023-02-27 08:59:00.000,,2023-02-27 11:42:55.816,2023-02-27 11:42:52.818,UTC-0500,oL6fnwM6i7,,com.sec.android.app.shealth,2023-02-27 11:40:00.000,c6818396-1791-433b-8e82-bea68d55938a,
,,,,,,,,,,,0,,,,,,,0.0,,,0.0,,,2023-05-07 06:40:00.000,,2023-05-07 19:48:16.720,2023-05-07 19:48:16.720,UTC-0400,+OWbbAvnWG,,com.sec.android.app.shealth,2023-05-07 13:40:00.000,92e17ab7-1892-4006-b030-522ea0d186f0,
