binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
a13ed93b-de36-4f47-8e6c-936e49ad6927.binning_data.json,2022-09-18 04:00:03.957,2022-09-18 04:00:03.957,com.sec.android.app.shealth,0,8002,1.1952552,5796.59,488.96,+OWbbAvnWG,com.sec.android.app.shealth,a13ed93b-de36-4f47-8e6c-936e49ad6927,1663372800000,
8042a9be-2416-4bf6-aaf9-48c062b20901.binning_data.json,2022-09-16 03:04:22.099,2022-09-16 02:24:50.990,com.sec.android.app.shealth,-2,41,1.1873246,29.87,1.8199999,VfS0qUERdZ,com.sec.android.app.shealth,8042a9be-2416-4bf6-aaf9-48c062b20901,1663200000000,
110a53e2-cbd2-4bd0-9e57-7aeb7e103487.binning_data.json,2022-09-17 04:00:01.729,2022-09-16 04:21:43.204,com.sec.android.app.shealth,-2,1413,1.1903905,1029.19,53.54,VfS0qUERdZ,com.sec.android.app.shealth,110a53e2-cbd2-4bd0-9e57-7aeb7e103487,1663286400000,
c1ef821c-e359-4e1d-877d-78135247bb8d.binning_data.json,2022-09-17 04:00:01.068,2022-09-17 04:00:01.068,com.sec.android.app.shealth,0,1413,1.1903905,1029.19,53.54,+OWbbAvnWG,com.sec.android.app.shealth,c1ef821c-e359-4e1d-877d-78135247bb8d,1663286400000,
a110f01e-c007-487d-8afa-02a6bf3dedbc.binning_data.json,2022-09-21 04:00:01.098,2022-09-21 04:00:01.098,com.sec.android.app.shealth,0,5303,1.1966876,3958.97,386.77002,+OWbbAvnWG,com.sec.android.app.shealth,a110f01e-c007-487d-8afa-02a6bf3dedbc,1663632000000,
fa5acb5f-1f30-4818-a3b3-6f811400f8a4.binning_data.json,2022-09-18 02:54:19.570,2022-09-17 04:00:49.596,com.sec.android.app.shealth,-2,8002,1.1952552,5796.59,488.96,VfS0qUERdZ,com.sec.android.app.shealth,fa5acb5f-1f30-4818-a3b3-6f811400f8a4,1663372800000,
b304a1f9-e41b-4768-9a0a-e4ec1932fb58.binning_data.json,2022-09-20 03:23:49.004,2022-09-19 04:05:09.802,com.sec.android.app.shealth,-2,2073,1.2412374,1582.52,147.52,VfS0qUERdZ,com.sec.android.app.shealth,b304a1f9-e41b-4768-9a0a-e4ec1932fb58,1663545600000,
061f778c-0949-4c5d-a419-d875a389c7c3.binning_data.json,2022-09-20 04:00:01.544,2022-09-20 04:00:01.544,com.sec.android.app.shealth,0,2073,1.2412374,1582.52,147.52,+OWbbAvnWG,com.sec.android.app.shealth,061f778c-0949-4c5d-a419-d875a389c7c3,1663545600000,
cee9ed9c-8b3f-47a9-8e4d-3dbb0eadc4e5.binning_data.json,2022-09-16 04:00:09.479,2022-09-16 04:00:09.479,com.sec.android.app.shealth,0,41,1.1873246,29.87,1.8199999,+OWbbAvnWG,com.sec.android.app.shealth,cee9ed9c-8b3f-47a9-8e4d-3dbb0eadc4e5,1663200000000,
a72ad103-7f41-4465-bbe5-adcd2e4f6b6d.binning_data.json,2022-09-23 04:00:02.394,2022-09-22 04:20:31.735,com.sec.android.app.shealth,102,8170,1.2704132,6069.5337,546.93005,oL6fnwM6i7,com.sec.android.app.shealth,a72ad103-7f41-4465-bbe5-adcd2e4f6b6d,1663718400000,
dbc0ce26-6c56-43aa-bbad-4329ce990cbc.binning_data.json,2022-09-21 03:48:13.789,2022-09-20 04:14:47.460,com.sec.android.app.shealth,-2,8205,1.2654443,6230.992,574.6005,VfS0qUERdZ,com.sec.android.app.shealth,dbc0ce26-6c56-43aa-bbad-4329ce990cbc,1663632000000,
3edab524-eccb-4743-8fc5-9b39e2667e72.binning_data.json,2022-09-23 04:06:29.118,2022-09-22 04:20:07.564,com.sec.android.app.shealth,-2,4118,1.3135144,3126.7346,284.45978,VfS0qUERdZ,com.sec.android.app.shealth,3edab524-eccb-4743-8fc5-9b39e2667e72,1663804800000,
24b338a8-6cdd-4e0e-b187-35d09ae355d2.binning_data.json,2022-09-23 04:05:41.503,2022-09-22 04:20:25.354,com.sec.android.app.shealth,0,1270,1.2754294,976.73004,91.42,+OWbbAvnWG,com.sec.android.app.shealth,24b338a8-6cdd-4e0e-b187-35d09ae355d2,1663804800000,
86c7a997-171e-4c68-9432-fa05a750cb7b.binning_data.json,2022-09-19 04:01:04.306,2022-09-19 04:01:04.306,com.sec.android.app.shealth,0,1463,1.255836,1123.79,101.19,+OWbbAvnWG,com.sec.android.app.shealth,86c7a997-171e-4c68-9432-fa05a750cb7b,1663459200000,
c7929e4c-9f2a-4736-834f-83e5bc19ea43.binning_data.json,2022-09-19 04:01:05.324,2022-09-18 04:00:41.407,com.sec.android.app.shealth,-2,1463,1.255836,1123.79,101.19,VfS0qUERdZ,com.sec.android.app.shealth,c7929e4c-9f2a-4736-834f-83e5bc19ea43,1663459200000,
789d848a-a20c-4754-b5bc-3a59d61767d6.binning_data.json,2022-09-22 04:20:25.718,2022-09-22 04:20:25.718,com.sec.android.app.shealth,0,5527,1.2438179,4174.79,404.06,+OWbbAvnWG,com.sec.android.app.shealth,789d848a-a20c-4754-b5bc-3a59d61767d6,1663718400000,
9f0bf80a-2a86-4dd9-a767-e16657542df4.binning_data.json,2022-09-24 04:00:01.874,2022-09-23 04:05:41.470,com.sec.android.app.shealth,0,1176,1.2989745,915.53,81.03,+OWbbAvnWG,com.sec.android.app.shealth,9f0bf80a-2a86-4dd9-a767-e16657542df4,1663891200000,
fbb28347-4860-42cd-8006-640818c9f1f8.binning_data.json,2022-09-22 14:17:41.398,2022-09-21 04:01:36.285,com.sec.android.app.shealth,-2,8957,1.286806,6743.8696,633.6002,VfS0qUERdZ,com.sec.android.app.shealth,fbb28347-4860-42cd-8006-640818c9f1f8,1663718400000,
8ac85457-732d-4e52-ba00-e4d956747794.binning_data.json,2022-09-25 04:04:43.456,2022-09-24 04:00:03.806,com.sec.android.app.shealth,102,4264,1.4434509,3305.1702,307.88998,oL6fnwM6i7,com.sec.android.app.shealth,8ac85457-732d-4e52-ba00-e4d956747794,1663891200000,
bcc12c25-c779-489b-925a-65317d99d3d7.binning_data.json,2022-09-21 04:00:03.242,2022-09-21 04:00:03.242,com.sec.android.app.shealth,102,6687,1.2738124,5093.3223,460.34088,oL6fnwM6i7,com.sec.android.app.shealth,bcc12c25-c779-489b-925a-65317d99d3d7,1663632000000,
ce28a697-5161-4072-a5a0-87d173189525.binning_data.json,2022-09-26 03:59:36.224,2022-09-25 04:02:59.171,com.sec.android.app.shealth,-2,4558,1.4769019,3743.5771,326.3305,VfS0qUERdZ,com.sec.android.app.shealth,ce28a697-5161-4072-a5a0-87d173189525,1664064000000,
7cc5c471-a705-4ae8-b198-9ba20f964d22.binning_data.json,2022-09-25 04:04:43.217,2022-09-23 04:05:41.173,com.sec.android.app.shealth,-2,4852,1.424165,3768.6602,349.41998,VfS0qUERdZ,com.sec.android.app.shealth,7cc5c471-a705-4ae8-b198-9ba20f964d22,1663891200000,
be8d46d1-4248-40ad-90e4-0094055c0447.binning_data.json,2022-09-25 00:50:46.980,2022-09-24 04:21:15.010,com.sec.android.app.shealth,-2,12046,1.2989949,9244.435,834.62976,VfS0qUERdZ,com.sec.android.app.shealth,be8d46d1-4248-40ad-90e4-0094055c0447,1663977600000,
09cdd687-bd7f-43a6-89d7-5839a7d47a4b.binning_data.json,2022-09-25 04:04:42.130,2022-09-25 04:04:42.130,com.sec.android.app.shealth,0,8205,1.1840359,6112.77,611.68005,+OWbbAvnWG,com.sec.android.app.shealth,09cdd687-bd7f-43a6-89d7-5839a7d47a4b,1663977600000,
75ec3437-88c4-46e1-b829-c2ee2bb6d48a.binning_data.json,2022-09-27 03:30:02.451,2022-09-26 04:06:18.182,com.sec.android.app.shealth,-2,6176,1.3292735,4841.2197,469.211,VfS0qUERdZ,com.sec.android.app.shealth,75ec3437-88c4-46e1-b829-c2ee2bb6d48a,1664150400000,
b1d6d0c8-11c9-4d91-85ae-e4fe2bf008a9.binning_data.json,2022-09-25 04:04:43.517,2022-09-25 04:04:43.517,com.sec.android.app.shealth,102,11443,1.3283699,8916.824,778.8135,oL6fnwM6i7,com.sec.android.app.shealth,b1d6d0c8-11c9-4d91-85ae-e4fe2bf008a9,1663977600000,
186c46fc-8e0e-4491-aed5-15174cfa410c.binning_data.json,2022-09-28 03:52:49.179,2022-09-27 12:48:08.070,com.sec.android.app.shealth,-2,6155,1.3568405,4967.8755,443.05112,VfS0qUERdZ,com.sec.android.app.shealth,186c46fc-8e0e-4491-aed5-15174cfa410c,1664236800000,
