duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
4,0,18,2023-04-18 05:51:00.000,,,2023-04-18 05:51:59.033,2023-04-18 05:51:49.935,18,1.2189314,13.700001,1.2100002,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-04-18 05:52:00.000,945f7421-2efe-40e1-bf7f-6a26ba644bb6,
4,0,26,2023-04-18 05:52:00.000,,,2023-04-18 05:52:19.970,2023-04-18 05:52:07.308,26,1.5843911,20.97,1.6399995,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-04-18 05:53:00.000,95e9f37a-1731-4927-a4be-2cdc760be568,
4,0,7,2023-04-18 12:24:00.000,,,2023-04-18 12:33:21.519,2023-04-18 12:33:21.519,7,1.3055556,5.52,0.46,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-04-18 12:25:00.000,d89dcdc8-b6c7-40ad-80e2-19f7d5f32b75,
4,0,9,2023-04-18 12:22:00.000,,,2023-04-18 12:22:42.805,2023-04-18 12:22:42.805,9,1.4722222,7.06,0.58,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-04-18 12:23:00.000,1bb23b8a-7f82-4118-ac57-5dc16d0ede9f,
4,0,11,2023-04-18 14:51:00.000,,,2023-04-18 14:55:01.906,2023-04-18 14:55:01.906,11,1.6388888,8.93,0.7,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-04-18 14:52:00.000,d51f44cc-7ced-451f-8896-effcec7f9150,
4,0,35,2023-04-18 14:52:00.000,,,2023-04-18 14:55:01.933,2023-04-18 14:55:01.933,35,1.3888888,27.45,2.33,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-04-18 14:53:00.000,07259195-728c-425d-89aa-3425aac4b426,
4,0,93,2023-04-18 16:43:00.000,,,2023-04-18 16:54:37.594,2023-04-18 16:54:37.594,93,1.2222222,71.45,6.44,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-04-18 16:44:00.000,c5511c9d-b8b8-413f-a081-edb85783d240,
4,1,28,2023-04-18 16:44:00.000,,,2023-04-18 16:54:37.756,2023-04-18 16:54:37.756,29,1.25,24.29,2.54,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-04-18 16:45:00.000,9077218b-4e94-426f-83fa-2a1b4287d2a2,
4,0,8,2023-04-18 17:10:00.000,,,2023-04-18 17:13:11.279,2023-04-18 17:13:11.279,8,1.1111112,6.04,0.54,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-04-18 17:11:00.000,13b01903-a4d4-4bcb-8a90-910bd60c99ad,
4,0,43,2023-04-18 17:11:00.000,,,2023-04-18 17:13:11.476,2023-04-18 17:13:11.476,43,1.1111112,32.49,2.91,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-04-18 17:12:00.000,67afc07f-72a4-4475-b924-fe55f1ae5825,
4,0,19,2023-04-18 22:29:00.000,,,2023-04-18 22:31:33.986,2023-04-18 22:31:33.986,19,1.6111112,15.23,1.22,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-04-18 22:30:00.000,148ea711-c474-4e92-8e9c-b9a277e50c61,
